,BrandName,Deatils,Sizes,MRPNum,SellPrice,DiscountPercentage,Category
20,insense,womens  round neck  printed t-shirt - fuchsia,Size:Small,399,199,0.5,Westernwear-Women
0,stop,womens 2 ply anti microbial reusable protective fashion mask- pack of 5 - multi,Nan,399,199,0.5,Westernwear-Women
10,life,printed cotton blend round neck womens regular t-shirt - grey melange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
10,life,printed cotton round neck womens regular t-shirt - off white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
21,life,solid cotton round neck womens regular t-shirt - turquoise,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
12,insense,half sleeves night wear womens t-shirt - olive,"Size:Small,X-Small",399,199,0.5,Westernwear-Women
19,stop,womens 2 ply anti microbial reusable protective fashion mask- pack of 5 - multi,Nan,399,199,0.5,Westernwear-Women
2,insense,half sleeves night wear womens t-shirt - navy,"Size:Small,X-Small",399,199,0.5,Westernwear-Women
19,life,solid cotton round neck womens regular t-shirt - red,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
5,stop,womens 2 ply anti microbial reusable protective fashion mask- pack of 5 - multi,Nan,399,199,0.5,Westernwear-Women
21,insense,womens  round neck  printed t-shirt - navy,Size:Small,399,199,0.5,Westernwear-Women
7,life,printed cotton round neck womens regular t-shirt - mustard,"Size:Medium,X-Small",399,199,0.5,Westernwear-Women
23,stop,womens 2 ply anti microbial reusable protective fashion mask- pack of 5 - multi,Nan,399,199,0.5,Westernwear-Women
12,stop,womens 2 ply anti microbial reusable protective fashion mask- pack of 5 - multi,Nan,399,199,0.5,Westernwear-Women
18,life,printed cotton round neck womens regular t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
8,stop,womens 2 ply anti microbial reusable protective fashion mask- pack of 5 - multi,Nan,399,199,0.5,Westernwear-Women
11,stop,womens 2 ply anti microbial reusable protective fashion mask- pack of 5 - multi,Nan,399,199,0.5,Westernwear-Women
0,life,womens 2 ply protective face mask - pack of 5 - multi,Nan,399,199,0.5,Westernwear-Women
0,stop,womens 2 ply anti microbial reusable protective fashion mask- pack of 5 - multi,Nan,399,199,0.5,Westernwear-Women
14,stop,womens 2 ply anti microbial reusable protective fashion mask- pack of 5 - multi,Nan,399,199,0.5,Westernwear-Women
5,life,printed cotton round neck womens regular t-shirt - blush,"Size:X-Small,XX-Large",399,199,0.5,Westernwear-Women
9,stop,womens 2 ply anti microbial reusable protective fashion mask- pack of 5 - multi,Nan,399,199,0.5,Westernwear-Women
